order_id,order_date,product,category,quantity,unit_price,region
1001,2025-01-05,Laptop,Electronics,2,50000,North
1001,2025-01-05,Mouse,Accessories,1,500,North
1002,2025-01-06,Keyboard,Accessories,3,1000,South
1003,2025-01-07,Laptop,Electronics,1,50000,East
1004,2025-01-08,Monitor,Electronics,2,10000,South
1004,2025-01-08,Mouse,Accessories,4,500,South
1005,2025-01-09,Keyboard,Accessories,2,1000,North
1006,2025-01-10,Monitor,Electronics,1,10000,East
1007,2025-01-11,Mouse,Accessories,5,500,
1008,2025-01-12,Laptop,Electronics,1,50000,South
1009,2025-01-13,Headset,Accessories,2,2000,North
1010,2025-01-14,Headset,Accessories,3,2000,East
1010,2025-01-14,Headset,Accessories,3,2000,East
